route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
52-253,180625-MULTI-Weekday-02,8439404-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594024,520033,1,1
52-253,180625-MULTI-Weekday-02,8439405-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594026,520033,1,1
52-253,180625-MULTI-Weekday-02,8439406-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594025,520033,1,1
52-253,180625-MULTI-Weekday-02,8439407-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594202,520033,1,1
52-253,180625-MULTI-Weekday-02,8439408-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594024,520033,1,1
52-253,180625-MULTI-Weekday-02,8439409-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594026,520033,1,1
52-253,180625-MULTI-Weekday-02,8439410-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594025,520033,1,1
52-253,180625-MULTI-Weekday-02,8439411-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594202,520033,1,1
52-253,180625-MULTI-Weekday-02,8439412-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594206,520033,1,1
52-253,180625-MULTI-Weekday-02,8439413-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594024,520033,1,1
52-253,180625-MULTI-Weekday-02,8439414-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594026,520033,1,1
52-253,180625-MULTI-Weekday-02,8439415-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594025,520033,1,1
52-253,180625-MULTI-Weekday-02,8439416-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594202,520033,1,1
52-253,180625-MULTI-Weekday-02,8439417-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594206,520033,1,1
52-253,180625-MULTI-Weekday-02,8439418-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594024,520033,1,1
52-253,180625-MULTI-Weekday-02,8439419-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594026,520033,1,1
52-253,180625-MULTI-Weekday-02,8439420-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594025,520033,1,1
52-253,180625-MULTI-Weekday-02,8439421-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594202,520033,1,1
52-253,180625-MULTI-Weekday-02,8439422-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594024,520033,1,1
52-253,180625-MULTI-Weekday-02,8439423-180625-MULTI-Weekday-02,"52 MCMURCHY NORTH",0,594026,520033,1,1
