stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
00000020,,"Kennedy Rd S n/of First Gulf Blvd",,  43.673256, -79.718468,,,0,,,1
00000030,,"Kennedy Rd S at Steeles Ave E",,  43.675159, -79.721710,,,0,,,1
00000055,,"Rutherford Rd S n/of Steeles Ave E",,  43.681385, -79.718147,,,0,,,1
00000060,,"Rutherford Rd S at Bramsteele Rd",,  43.681969, -79.718979,,,0,,,1
00000070,,"Rutherford Rd S n/of Bramsteele Rd",,  43.683807, -79.721458,,,0,,,1
00000080,,"Rutherford Rd S at Glidden Rd",,  43.686333, -79.725067,,,0,,,1
00000090,,"Rutherford Rd S at Selby Rd",,  43.689014, -79.728958,,,0,,,1
00000100,,"Rutherford Rd S opp Stafford Rd",,  43.690235, -79.730621,,,0,,,1
00000110,,"Rutherford Rd S at Clarence St",,  43.691460, -79.731880,,,0,,,1
00000120,,"Orenda Rd e/of Rutherford Rd S",,  43.695114, -79.732758,,,0,,,0
00000130,,"Orenda Rd btwn Rutherford Rd S & Heart Lake Rd",,  43.695702, -79.729797,,,0,,,0
00000140,,"Orenda Rd opp Heart Lake Rd",,  43.696758, -79.727829,,,0,,,0
00000150,,"Orenda Rd opp Tilbury Crt",,  43.697323, -79.725029,,,0,,,0
00000160,,"Orenda Rd at 237 Orenda Rd",,  43.697067, -79.722672,,,0,,,0
00000170,,"Orenda Rd at Titan Rd",,  43.698078, -79.720261,,,0,,,0
00000180,,"West Dr n/of Orenda Rd",,  43.699875, -79.718369,,,0,,,1
00000190,,"West Dr s/of Clark Blvd ( 55 West Dr )",,  43.702724, -79.723129,,,0,,,1
00000200,,"Clark Blvd e/of West Dr",,  43.704700, -79.726936,,,0,,,1
00000210,,"Clark Blvd at 185 Clark Blvd",,  43.706436, -79.725029,,,0,,,1
00000220,,"Clark Blvd at Terese Rd",,  43.709229, -79.724075,,,0,,,1
00000222,,"Queen St E bwtn Torbram Rd & Gateway Blvd",,  43.736172, -79.704010,,,0,,,1
00000230,,"Clark Blvd at Braemar Dr",,  43.711452, -79.721512,,,0,,,1
00000235,,"Clark Blvd at Briar Path",,  43.713219, -79.720047,,,0,,,1
00000270,,"Clark Blvd at Lisa St",,  43.709747, -79.724022,,,0,,,1
00000280,,"Clark Blvd opp 185 Clark Blvd",,  43.705849, -79.726028,,,0,,,1
00000290,,"Clark Blvd at West Dr",,  43.704773, -79.727211,,,0,,,1
00000300,,"West Dr s/of Clark Blvd",,  43.703896, -79.726875,,,0,,,0
00000308,,"West Dr at 60 West Dr",,  43.703243, -79.724487,,,0,,,1
00000310,,"West Dr at Norpak Whse",,  43.701523, -79.721489,,,0,,,0
00000320,,"West Dr s/of Orenda Rd",,  43.699127, -79.717850,,,0,,,1
00000330,,"Glidden Rd w/of West Dr",,  43.694832, -79.713753,,,0,,,1
00000340,,"Glidden Rd at Blair Dr",,  43.693626, -79.715446,,,0,,,1
00000350,,"Glidden Rd at Heart Lake Rd",,  43.691647, -79.718269,,,0,,,1
00000360,,"Glidden Rd w/of Heart Lake Rd",,  43.689774, -79.720894,,,0,,,0
00000365,,"Hale Rd s/of Glidden Rd",,  43.687313, -79.722977,,,0,,,0
00000370,,"Glidden Rd at Hale Rd",,  43.688499, -79.722687,,,0,,,0
00000371,,"Hale Rd btwn Glidden Rd & Bramsteele Ave",,  43.686028, -79.721237,,,0,,,0
00000372,,"Hale Rd n/of Bramsteele Ave",,  43.684193, -79.718178,,,0,,,0
00000373,,"Bramsteele Ave e/of Rutherford Rd",,  43.683235, -79.718491,,,0,,,1
00000410,,"Rutherford Rd S at Steeles Ave E",,  43.680935, -79.717995,,,0,,,1
00000420,,"First Gulf Blvd n/of Biscayne Cres (N)",,  43.679436, -79.715874,,,0,,,0
00000430,,"First Gulf Blvd at Biscayne Cres S",,  43.677124, -79.713402,,,0,,,0
00000440,,"First Gulf Blvd btwn Biscayne Cres (S) and Kennedy",,  43.674484, -79.715881,,,0,,,0
00000460,,"Hereford St s/of Steeles Ave",,  43.622219, -79.780922,,,0,,,0
00000461,,"Heritage - Zum Steeles Station Stop EB",,  43.617924, -79.785973,,,0,,,1
00000466,,"Heritage - Zum Steeles Station Stop WB",,  43.617184, -79.787369,,,0,,,1
00000468,,"Winston Churchill - Zum Steeles Station Stop WB",,  43.606796, -79.796936,,,0,,,1
00000469,,"Winston Churchill - Zum Steeles Station Stop EB",,  43.608097, -79.796936,,,0,,,1
00000470,,"Mississauga Road - Zum Steeles Station Stop EB",,  43.627819, -79.775185,,,0,,,0
00000475,,"Argentia - Zum Steeles Stop WB",,  43.596035, -79.785957,,,0,,,1
00000477,,"Argentia - Zum Steeles Stop EB",,  43.595032, -79.786301,,,0,,,1
00000490,,"Steeles Ave W at St. Dimitar Church",,  43.633888, -79.768364,,,0,,,0
00000500,,"Steeles Ave W opp Creditview Rd",,  43.637100, -79.764923,,,0,,,0
00000510,,"Steeles Ave W at Churchville Rd",,  43.639748, -79.762016,,,0,,,0
00000520,,"Steeles Ave W at Clementine Dr",,  43.643684, -79.757660,,,0,,,0
00000530,,"Steeles Ave W btwn Mavis Rd & Windmill Blvd",,  43.649578, -79.751152,,,0,,,1
00000535,,"Steeles Ave btwn Clementine Dr and Mavis Rd",,  43.645283, -79.755836,,,0,,,1
00000540,,"Mavis - Zum Steeles Station Stop EB",,  43.647339, -79.753532,,,0,,,1
00000550,,"Steeles Ave W at Windmill Blvd",,  43.653267, -79.747025,,,0,,,1
00000560,,"Steeles Ave W at McLaughlin Rd S",,  43.656006, -79.743874,,,0,,,1
00000600,,"Steeles Ave E e/of Hurontario St",,  43.666519, -79.732285,,,0,,,1
00000610,,"Steeles Ave E btwn Hurontario St & Hartford Tr",,  43.670456, -79.728065,,,0,,,1
00000620,,"Steeles Ave E at Hartford Trail",,  43.673000, -79.725319,,,0,,,1
00000670,,"Steeles Ave E btwn Tomken Rd & Dixie Rd",,  43.692356, -79.704086,,,0,,,1
00000680,,"Steeles Ave w/of at Dixie Rd",,  43.694267, -79.701942,,,0,,,1
